gene_id,protein_size,annotation
b3735,177,"F1 sector of membrane-bound ATP synthase, delta subunit; F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation; Belongs to the ATPase delta chain family."
b3736,156,"F0 sector of membrane-bound ATP synthase, subunit b; F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation."
b3737,79,"F0 sector of membrane-bound ATP synthase, subunit c; F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation."
b3738,271,"F0 sector of membrane-bound ATP synthase, subunit a; Key component of the proton channel; it plays a direct role in the translocation of protons across the membrane."
b3739,126,"ATP synthase, membrane-bound accessory factor; A possible function for this protein is to guide the assembly of the membrane sector of the ATPase enzyme complex; Belongs to the bacterial AtpI family."
b3870,469,Glutamine synthetase; Catalyzes the ATP-dependent biosynthesis of glutamine from glutamate and ammonia.
b3916,320,"6-phosphofructokinase I; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis; Belongs to the phosphofructokinase type A (PFKA) family. ATP-dependent PFK group I subfamily. Prokaryotic clade 'B1' sub- subfamily."
b3919,255,Triosephosphate isomerase; Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D- glyceraldehyde-3-phosphate (G3P); Belongs to the triosephosphate isomerase family.
b3925,336,"Fructose 1,6-bisphosphatase II; Catalyzes the hydrolysis of fructose 1,6-bisphosphate to fructose 6-phosphate. Is likely to be involved in gluconeogenesis during growth on glycerol. Also displays a low activity toward glucose 1,6-bisphosphate, and no activity against ribulose 1,5-bisphosphate, fructose 2,6-bisphosphate, or fructose 1-phosphate."
b3951,765,Putative glycine radical domain-containing pyruvate formate-lyase; Probably shows dehydratase activity. Belongs to the glycyl radical enzyme (GRE) family.
b3952,292,"Putative [formate-C-acetyltransferase 2]-activating enzyme; Activation of pyruvate formate-lyase 2 under anaerobic conditions by generation of an organic free radical, using S- adenosylmethionine and reduced flavodoxin as cosubstrates to produce 5'-deoxy-adenosine; Belongs to the organic radical-activating enzymes family."
b3956,883,"Phosphoenolpyruvate carboxylase; Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle."
b3962,466,"Pyridine nucleotide transhydrogenase, soluble; Conversion of NADPH, generated by peripheral catabolic pathways, to NADH, which can enter the respiratory chain for energy generation."
b4014,533,Malate synthase A; Protein involved in glyoxylate cycle.
b4015,434,"Isocitrate lyase; Involved in the metabolic adaptation in response to environmental changes. Catalyzes the reversible formation of succinate and glyoxylate from isocitrate, a key step of the glyoxylate cycle, which operates as an anaplerotic route for replenishing the tricarboxylic acid cycle during growth on fatty acid substrates."
b4025,549,Glucosephosphate isomerase; Protein involved in glycolysis and gluconeogenesis; Belongs to the GPI family.
b4077,437,"Glutamate/aspartate:proton symporter; Catalyzes the proton-dependent, binding-protein-independent transport of glutamate and aspartate. Belongs to the dicarboxylate/amino acid:cation symporter (DAACS) (TC 2.A.23) family. GltP subfamily."
b4090,149,Ribose 5-phosphate isomerase B/allose 6-phosphate isomerase; Catalyzes the interconversion of ribulose-5-P and ribose-5-P. It probably also has activity on D-allose 6-phosphate.
b4122,548,"Anaerobic class I fumarate hydratase (fumarase B); Catalyzes the reversible hydration of fumarate to (S)-malate. Functions in the generation of fumarate for use as an anaerobic electron acceptor. To a lesser extent, also displays D-tartrate dehydratase activity, but is not able to convert (R)-malate, L-tartrate or meso-tartrate. Is required for anaerobic growth on D-tartrate. Belongs to the class-I fumarase family."
b4151,119,"Fumarate reductase (anaerobic), membrane anchor subunit; Seems to be involved in the anchoring of the catalytic components of the fumarate reductase complex to the cytoplasmic membrane; Belongs to the FrdD family."
b4152,131,"Fumarate reductase (anaerobic), membrane anchor subunit; Seems to be involved in the anchoring of the catalytic components of the fumarate reductase complex to the cytoplasmic membrane."
b4153,244,"Fumarate reductase (anaerobic), Fe-S subunit; Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth."
b4154,602,"Anaerobic fumarate reductase catalytic and NAD/flavoprotein subunit; Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; the fumarate reductase is used in anaerobic growth, and the succinate dehydrogenase is used in aerobic growth. Belongs to the FAD-dependent oxidoreductase 2 family. FRD/SDH subfamily."
b4232,332,Protein involved in gluconeogenesis.
b4301,210,Putative epimerase; Probable pentose-5-phosphate 3-epimerase.
b4395,215,Phosphatase; Phosphoglyceromutase 2; Protein involved in glycolysis and gluconeogenesis; Belongs to the phosphoglycerate mutase family. GpmB subfamily.
